,EP,STA,COMP,fq,fq_prob,width,S,S_r1,S_r2,S_r,N_T,R,R_r1,R_r2,R_r,N_R,cp,cl,H,H_r1,H_r2,H_r,N_H,V,V_r1,V_r2,V_r,N_V,N_L
39,EP1,NAN3,HHN,3.2434876283,0.1497439275,0.0428109275,-141.6950351814,-145.9605882603,-137.6072134809,8.3533747794,401,0.3446893788,0.16432865730000001,0.5310621242,0.3667334669,11.0,0.0274314214,,,,,,,,,,,,
40,EP1,NAN3,HHN,4.047142846,0.1446806012,0.0447319258,-142.2380345408,-150.2723120802,-136.4355007623,13.8368113179,425,0.3046092184,0.1963927856,0.4328657315,0.2364729459,153.0,0.36,,,,,,,,,,,,
41,EP1,NAN3,HHE,1.0340125282,1.1925948721,0.0196692533,-143.4052109957,-153.2823096296,-133.5281123618,19.7541972678,1796,0.32865731460000003,0.1623246493,0.4428857715,0.2805611222,11.0,0.0061247216,,,,,,,,,,,,
42,EP1,NAN3,HHE,1.0938379786,0.9021081016,0.013389825900000001,-144.1317102895,-154.2938078611,-134.2041226618,20.0896851993,1079,,,,,,,,,,,,,,,,,,
43,EP1,NAN3,HHE,1.2064505912,0.7905225731000001,0.0156671746,-148.0091004152,-158.5194493601,-137.3765381104,21.1429112497,1227,,,,,,,,,,,,,,,,,,
44,EP1,NAN3,HHE,1.2838717624,0.8442274992000001,0.024298652900000002,-148.3917563979,-158.8045573722,-137.5784630785,21.2260942937,1617,,,,,,,,,,,,,,,,,,
45,EP1,NAN3,HHE,1.3648120777,0.6723147599,0.0151922839,-150.7654721981,-160.4385916456,-139.139980018,21.2986116276,795,,,,,,,,,,,,,,,,,,
46,EP1,NAN3,HHE,1.4351949606,1.0123085484,0.0384041977,-148.5462267614,-159.3758699039,-136.3141837875,23.0616861164,2230,0.5070140281000001,0.4028056112,0.6072144289,0.2044088177,40.0,0.0179372197,,,,,,,,,,,,
47,EP1,NAN3,HHE,1.4809438345000001,0.8624997319000001,0.0082987227,-147.8878599484,-158.9224601241,-136.491469603,22.4309905211,723,0.5230460922,0.4348697395,0.6032064128,0.16833667330000002,6.0,0.0082987552,,,,,,,,,,,,
48,EP1,NAN3,HHE,1.6744967624,0.8675877321000001,0.0327091536,-149.2631672494,-159.7452577579,-137.2716557077,22.4736020502,1767,,,,,,,,,,,,,,,,,,
49,EP1,NAN3,HHE,1.7413605011,0.4228950649,0.0044247349,-152.0825605679,-157.306907455,-138.0672453611,19.2396620939,198,,,,,,,,,,,,,,,,,,
50,EP1,NAN3,HHE,1.7800710867,0.5334147265,0.0167735902,-150.9467797595,-160.8493627881,-138.7141771947,22.1351855934,634,,,,,,,,,,,,,,,,,,
51,EP1,NAN3,HHE,1.8117433840000001,0.47701869490000004,0.0051440692,-152.7806413303,-157.924381539,-138.2326892249,19.6916923141,393,,,,,,,,,,,,,,,,,,
52,EP1,NAN3,HHE,1.8962028435,0.5184349373,0.011308316700000001,-152.7301599659,-161.3479315198,-139.8790971225,21.4688343973,458,,,,,,,,,,,,,,,,,,
53,EP1,NAN3,HHE,1.9665857264,0.23090148570000002,0.0117639773,-153.7790781759,-158.587908483,-139.6470054367,18.9409030463,191,,,,,,,,,,,,,,,,,,
54,EP1,NAN3,HHE,2.0404877534,0.6995004855,0.0224573691,-142.3061323605,-158.0692572431,-137.7085542698,20.3607029733,1225,,,,,,,,,,,,,,,,,,
55,EP1,NAN3,HHE,2.1143897804,0.2866830509,0.0067479288000000005,-153.657570665,-158.3869840205,-139.7320757849,18.6549082356,231,,,,,,,,,,,,,,,,,,
56,EP1,NAN3,HHE,2.1882918074,0.37442853270000004,0.0154950056,-153.1281395799,-158.0582469871,-139.444576164,18.6136708231,450,,,,,,,,,,,,,,,,,,
57,EP1,NAN3,HHE,2.4240744651,0.8119357455,0.0055926102000000005,-148.6173582517,-157.6290278311,-133.9500891431,23.678938688,331,0.6513026052,0.45490981960000004,0.7454909820000001,0.29058116240000004,11.0,0.0332326284,,,,,,,,,,,,
58,EP1,NAN3,HHE,2.469823339,0.9702426865,0.05,-147.389257947,-158.0899247531,-133.7853094495,24.3046153036,3762,0.6893787575,0.5831663327000001,0.7935871743,0.21042084160000002,100.0,0.0265816055,0.41000000000000003,7.5751503006,3.9679358717,19.4789579158,15.5110220441,37.0,21.8236472946,15.5110220441,27.2344689379,11.7234468938,45.0,41.0
59,EP1,NAN3,HHE,2.519091357,0.8486909124,0.0044557305,-147.6526783425,-158.4752355663,-134.1244818127,24.3507537536,348,,,,,,,,,,,,,,,,,,
60,EP1,NAN3,HHE,2.7196825732,0.4151919003,0.0186572002,-153.2451359628,-157.8959506537,-138.5583527284,19.3375979253,624,,,,,,,,,,,,,,,,,,
61,EP1,NAN3,HHE,2.7971037444,0.4079534038,0.0163301283,-142.6972085039,-158.4674838263,-138.42499345,20.0424903763,622,,,,,,,,,,,,,,,,,,
62,EP1,NAN3,HHE,2.860448339,0.2791381837,0.0117862925,-142.3175820024,-146.9713987912,-138.0425642545,8.9288345367,328,,,,,,,,,,,,,,,,,,
63,EP1,NAN3,HHE,2.9308312218,0.2635845026,0.011927297600000001,-142.5019638887,-147.0173170743,-138.2575318942,8.7597851801,317,,,,,,,,,,,,,,,,,,
64,EP1,NAN3,HHE,4.422948339,0.1269960394,0.05,-142.6358531272,-146.7835809559,-138.4881252984,8.2954556575,439,0.7955911824,0.74749499,0.8416833667,0.0941883767,253.0,0.576309795,0.9328063241000001,152.2244488978,145.7314629259,155.1102204409,9.378757515,245.0,29.2184368737,20.7414829659,37.6953907816,16.9539078157,227.0,236.0
65,EP1,NAN4,HHZ,1.0215782188,1.2943415443,0.0124994944,-144.8632519403,-155.0882659178,-138.751749333,16.336516584800002,1394,0.9438877756,0.9238476954,0.9619238477000001,0.0380761523,12.0,0.0086083214,0.875,118.6773547094,115.7915831663,121.2024048096,5.4108216433,12.0,7.3947895792,3.4268537074,9.0180360721,5.5911823647,9.0,10.5
66,EP1,NAN4,HHZ,1.1433992586,1.1751700062000001,0.0167843575,-140.5148884959,-153.2851771964,-133.2668868009,20.0182903955,1746,0.8917835671000001,0.6593186373000001,1.0,0.3406813627,10.0,0.0057273769,,,,,,,,,,,,
67,EP1,NAN4,HHZ,1.2062746340000001,1.176393129,0.0486933716,-138.2261283584,-149.679659337,-133.6950611581,15.9845981789,5432,0.6773547094,0.5771543086,0.7815631263,0.2044088177,209.0,0.0384756996,0.3875598086,121.5631262525,113.627254509,134.1883767535,20.5611222445,80.0,70.1603206413,59.879759519,75.9318637275,16.0521042085,82.0,81.0
68,EP1,NAN4,HHZ,1.2730797203,1.3055289271000001,0.0205805392,-138.8176629137,-151.3942141485,-134.3714074267,17.0228067218,2405,0.6653306613000001,0.5671342685,0.7635270541,0.1963927856,177.0,0.07359667360000001,0.31355932200000003,120.120240481,116.1523046092,126.25250501,10.1002004008,57.0,61.8637274549,52.4849699399,70.8817635271,18.3967935872,54.0,55.5
69,EP1,NAN4,HHZ,1.3634630724,1.0207064198,0.0114748504,-141.3252083849,-154.751335037,-136.8908913255,17.8604437115,1074,0.9438877756,0.4749498998,1.0,0.5250501002,10.0,0.009310987,,,,,,,,,,,,
70,EP1,NAN4,HHZ,1.4459870026,1.5090937077,0.0172302824,-141.7346696873,-156.6248454856,-132.1074008521,24.5174446335,2266,0.7715430862,0.6653306613000001,0.8997995992000001,0.2344689379,138.0,0.0609002648,0.8586956522,106.7735470942,98.4769539078,116.1523046092,17.6753507014,119.0,50.1402805611,41.843687374699996,58.4368737475,16.593186372799998,118.0,118.5
71,EP1,NAN4,HHZ,1.512792089,1.0141259738,0.015123177900000001,-143.0819151425,-158.0557536276,-134.4128507564,23.6429028712,1504,0.8837675351000001,0.619238477,0.9799599198000001,0.3607214428,15.0,0.0099734043,0.7666666667,99.5591182365,90.5410821643,123.3667334669,32.8256513026,12.0,55.5511022044,45.9919839679,64.2084168337,18.2164328658,11.0,11.5
72,EP1,NAN4,HHZ,1.6856993712000001,1.0843147895,0.036100775200000004,-144.7264657183,-157.2418626927,-140.5990475672,16.6428151255,3244,0.9418837675,0.8637274549,1.0,0.1362725451,31.0,0.009556103600000001,0.5483870968,119.0380761523,116.1523046092,121.5631262525,5.4108216433,20.0,7.0340681363,1.2625250501,12.0841683367,10.8216432866,14.0,17.0
73,EP1,NAN4,HHZ,1.7289261918,0.8478625846000001,0.0057564752000000005,-144.9591053445,-158.2257460478,-140.5921694463,17.6335766015,444,0.9258517034,0.16833667330000002,1.0,0.8316633267,13.0,0.029279279300000002,,,,,,,,,,,,
74,EP1,NAN4,HHZ,1.7839421453000002,0.3672785662,0.0042170146,-149.3619246091,-163.8431288389,-140.3111719655,23.5319568734,210,,,,,,,,,,,,,,,,,,
75,EP1,NAN4,HHZ,2.011865381,0.4062743368,0.05,-146.300524618,-151.0091741711,-142.2645392867,8.7446348844,1894,0.9498997996,0.875751503,1.0,0.12424849700000001,16.0,0.0084477297,0.875,119.0380761523,113.2665330661,124.8096192385,11.5430861724,16.0,6.3126252505,0.0,13.8877755511,13.8877755511,12.0,14.0
76,EP1,NAN4,HHZ,2.110108155,0.3184767068,0.0163089283,-146.3179879045,-150.8525317236,-142.3038015729,8.548730150699999,465,,,,,,,,,,,,,,,,,,
77,EP1,NAN4,HHZ,2.1494052646,0.2851917975,0.0062439579,-146.5889102424,-150.7757077571,-142.5991384931,8.176569264,163,0.8316633267,0.7414829659000001,0.9158316633,0.1743486974,8.0,0.049079754600000004,1.0,107.1342685371,99.5591182365,108.9378757515,9.378757515,8.0,34.0881763527,22.9058116232,39.3186372745,16.4128256513,8.0,8.0
78,EP1,NAN4,HHZ,2.5973923142,0.48111248970000003,0.0075032402000000005,-146.304346914,-159.7367896804,-142.1442993409,17.5924903395,268,,,,,,,,,,,,,,,,,,
79,EP1,NAN4,HHZ,2.6602676896,0.8017113823,0.05,-145.6101915746,-157.8895867908,-141.4439681976,16.4456185932,3187,0.5170340681,0.2945891784,0.7575150301,0.4629258517,61.0,0.0191402573,0.1147540984,118.3166332665,117.2344689379,120.120240481,2.8857715431,8.0,6.1322645291,4.1482965931999995,8.296593186399999,4.1482965931999995,6.0,7.0
80,EP1,NAN4,HHZ,3.3322482639,0.2159748129,0.038776753000000004,-146.2104835281,-150.4247921196,-142.1165837534,8.3082083662,672,0.5631262525,0.3967935872,0.7374749499000001,0.3406813627,24.0,0.0357142857,,,,,,,,,,,,
81,EP1,NAN4,HHN,1.0216955236,1.4892238872,0.014074788500000001,-142.4936805679,-153.5976283163,-136.1656243242,17.4320039921,2132,0.9418837675,0.9218436874,0.9659318637000001,0.044088176300000004,23.0,0.010787992500000001,0.7826086957,118.6773547094,116.5130260521,120.120240481,3.6072144289,23.0,4.5090180361000005,3.246492986,7.755511022,4.5090180360000005,13.0,18.0
82,EP1,NAN4,HHN,1.0771220439,1.0091299905,0.0058390829000000005,-142.0017151307,-155.6533741617,-137.3573362851,18.2960378766,440,,,,,,,,,,,,,,,,,,
83,EP1,NAN4,HHN,1.1246304899,1.086893097,0.0118218755,-145.2224527791,-157.9907847005,-137.8046599486,20.1861247519,1527,0.9318637275,0.7274549098,1.0,0.2725450902,7.0,0.004584151900000001,,,,,,,,,,,,
84,EP1,NAN4,HHN,1.1958931588,1.1192866234,0.013526437700000001,-143.9374437351,-156.3242013813,-139.4442081184,16.8799932629,1145,0.6673346693000001,0.5771543086,0.7675350701,0.1903807615,43.0,0.037554585200000004,0.3488372093,132.3847695391,116.1523046092,142.124248497,25.9719438878,13.0,72.1442885772,68.1763527054,75.0300601202,6.8537074148,17.0,15.0
85,EP1,NAN4,HHN,1.2592377533999999,1.2107542077,0.008861714,-145.1912465373,-158.5112077487,-136.2716296546,22.2395780941,584,0.6613226453000001,0.5531062124,0.7615230461,0.2084168337,34.0,0.058219178100000005,0.26470588240000004,122.6452905812,112.1843687375,133.8276553106,21.6432865731,9.0,63.6673346693,53.3867735471,72.6853707415,19.2985971944,9.0,9.0
